,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch,human time
0,GBPUSDT,27213632,84857327,-1,1.223,100.0,122.3,0.0003164,BNB,1670527264900,False,False,True,2022-12-08 19:21:04.900000000
1,GBPUSDT,27213644,84857414,-1,1.223,10.1,12.3523,3.197e-05,BNB,1670527363159,False,False,True,2022-12-08 19:22:43.158999808
2,GBPUSDT,27250551,85005931,-1,1.241,13.9,17.2499,4.809e-05,BNB,1670934081723,False,True,True,2022-12-13 12:21:21.723000064
3,GBPUSDT,27251728,85046723,-1,1.259,13.7,17.2483,4.75e-05,BNB,1670938239930,False,True,True,2022-12-13 13:30:39.930000128
4,GBPUSDT,27253916,85060164,-1,1.245,13.5,16.8075,4.518e-05,BNB,1670942903057,True,False,True,2022-12-13 14:48:23.056999936
5,GBPUSDT,27256950,85060190,-1,1.25,13.7,17.125,4.772e-05,BNB,1670956016040,False,True,True,2022-12-13 18:26:56.040000
6,GBPUSDT,27256964,85060191,-1,1.261,13.7,17.2757,4.814e-05,BNB,1670956016040,False,True,True,2022-12-13 18:26:56.040000
7,GBPUSDT,27256988,85075131,-1,1.251,13.5,16.8885,4.674e-05,BNB,1670956017835,True,False,True,2022-12-13 18:26:57.835000064
8,GBPUSDT,27256997,85075149,-1,1.256,13.6,17.0816,4.76e-05,BNB,1670956045928,False,True,True,2022-12-13 18:27:25.928000
9,GBPUSDT,27258222,85077206,-1,1.251,13.5,16.8885,4.74e-05,BNB,1670963134736,True,True,True,2022-12-13 20:25:34.736000
10,GBPUSDT,27258292,85081030,-1,1.256,13.6,17.0816,4.764e-05,BNB,1670963369760,False,True,True,2022-12-13 20:29:29.760000
11,GBPUSDT,27258647,85081147,-1,1.251,13.5,16.8885,4.71e-05,BNB,1670965409408,True,True,True,2022-12-13 21:03:29.408000
12,GBPUSDT,27258748,85082551,-1,1.256,13.6,17.0816,4.748e-05,BNB,1670965880154,False,True,True,2022-12-13 21:11:20.154000128
13,GBPUSDT,27260035,85082904,-1,1.251,13.5,16.8885,4.668e-05,BNB,1670975532959,True,True,True,2022-12-13 23:52:12.959000064
14,GBPUSDT,27261164,85091001,-1,1.256,13.6,17.0816,4.706e-05,BNB,1670984789388,False,True,True,2022-12-14 02:26:29.388000
15,GBPUSDT,27262245,85098011,-1,1.239,13.5,16.7265,4.556e-05,BNB,1671003845401,True,False,True,2022-12-14 07:44:05.400999936
16,GBPUSDT,27262246,85098013,-1,1.239,13.5,16.7265,4.556e-05,BNB,1671003845641,True,False,True,2022-12-14 07:44:05.640999936
17,GBPUSDT,27263100,85098032,-1,1.244,13.7,17.0428,4.659e-05,BNB,1671010542251,False,True,True,2022-12-14 09:35:42.250999808
18,GBPUSDT,27264621,85102847,-1,1.239,13.7,16.9743,4.674e-05,BNB,1671021981812,True,True,True,2022-12-14 12:46:21.812000
19,GBPUSDT,27266670,85113017,-1,1.244,13.7,17.0428,4.68e-05,BNB,1671035203130,False,True,True,2022-12-14 16:26:43.130000128
20,GBPUSDT,27268382,85123531,-1,1.239,13.7,16.9743,4.743e-05,BNB,1671044583537,True,True,True,2022-12-14 19:03:03.536999936
21,GBPUSDT,27268489,85132659,-1,1.244,13.7,17.0428,4.744e-05,BNB,1671044885852,False,True,True,2022-12-14 19:08:05.852000
