,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch,human time
0,SOLBTC,62652428,1242230025,-1,0.0008103,1.23,0.00099666,4.4e-05,BNB,1670276025231,True,False,True,2022-12-05 21:33:45.231000064
1,SOLBTC,62652874,1242230034,-1,0.0008134,0.73,0.00059378,2.601e-05,BNB,1670276960662,False,True,True,2022-12-05 21:49:20.661999872
2,SOLBTC,62654033,1242235638,-1,0.0008241,0.73,0.00060159,2.648e-05,BNB,1670277577169,False,True,True,2022-12-05 21:59:37.168999936
3,SOLBTC,62654471,1242243440,-1,0.000821,0.72,0.00059112,2.613e-05,BNB,1670277917935,True,True,True,2022-12-05 22:05:17.935000064
4,SOLBTC,62661400,1242321253,-1,0.0008241,0.96,0.00079113,3.482e-05,BNB,1670291468176,False,True,True,2022-12-06 01:51:08.176000
5,SOLBTC,62663018,1242344886,-1,0.000821,0.96,0.00078816,3.477e-05,BNB,1670292933630,True,True,True,2022-12-06 02:15:33.630000128
6,SOLBTC,62664397,1242361587,-1,0.0008241,0.96,0.00079113,3.483e-05,BNB,1670295712913,False,True,True,2022-12-06 03:01:52.913000192
7,SOLBTC,62666451,1242392235,-1,0.000835,0.96,0.0008016,3.525e-05,BNB,1670298176096,False,True,True,2022-12-06 03:42:56.096000
8,SOLBTC,62668984,1242392236,-1,0.0008411,0.96,0.00080745,3.567e-05,BNB,1670299600166,False,True,True,2022-12-06 04:06:40.165999872
9,SOLBTC,62670365,1242421622,-1,0.0008379,0.94,0.00078762,3.482e-05,BNB,1670300041953,True,True,True,2022-12-06 04:14:01.953000192
10,SOLBTC,62674104,1242432086,-1,0.0008269,0.94,0.00077728,3.432e-05,BNB,1670305157910,True,True,True,2022-12-06 05:39:17.910000128
11,SOLBTC,62676287,1242473941,-1,0.0008301,0.96,0.00079689,3.524e-05,BNB,1670309226123,False,True,True,2022-12-06 06:47:06.122999808
12,SOLBTC,62680642,1242502175,-1,0.0008269,0.95,0.00078555,3.469e-05,BNB,1670319117029,True,True,True,2022-12-06 09:31:57.028999936
13,SOLBTC,62686583,1242568184,-1,0.0008301,0.96,0.00079689,3.529e-05,BNB,1670335759431,False,True,True,2022-12-06 14:09:19.431000064
14,SOLBTC,62687090,1242670686,-1,0.0008269,0.95,0.00078555,3.469e-05,BNB,1670337125330,True,True,True,2022-12-06 14:32:05.329999872
15,SOLBTC,62690983,1242728069,-1,0.0008301,0.96,0.00079689,3.543e-05,BNB,1670348837970,False,True,True,2022-12-06 17:47:17.970000128
16,SOLBTC,62691469,1242759010,-1,0.0008269,0.95,0.00078555,3.483e-05,BNB,1670350055769,True,True,True,2022-12-06 18:07:35.768999936
17,SOLBTC,62694596,1242759478,-1,0.0008301,0.96,0.00079689,3.528e-05,BNB,1670359568000,False,True,True,2022-12-06 20:46:08
